Cidade,Transportadora,UF,Prazo,Capital/Interior
IBICOARA,TECMAR,BA,11,INTERIOR
POTIRAGUA,TECMAR,BA,11,INTERIOR
IBIASSUCE,TECMAR,BA,11,INTERIOR
REICO CARDOSO,TECMAR,BA,11,INTERIOR
LIVRAMENTO NOSSA SENHORA,TECMAR,BA,11,INTERIOR
MASCOTE,TECMAR,BA,11,INTERIOR
SATIRO DIAS,TECMAR,BA,11,INTERIOR
SANTA CRUZ DA VITORIA,TECMAR,BA,11,INTERIOR
TANHACU,TECMAR,BA,11,INTERIOR
ITUACU,TECMAR,BA,11,INTERIOR
RIO DO PIRES,TECMAR,BA,11,INTERIOR
ABAIRA,TECMAR,BA,11,INTERIOR
BONINAL,TECMAR,BA,11,INTERIOR
IBITIARA,TECMAR,BA,11,INTERIOR
SERROLANDIA,TECMAR,BA,11,INTERIOR
NOVO TRIUNFO,TECMAR,BA,11,INTERIOR
JEREMOABO,TECMAR,BA,11,INTERIOR
LAJE,TECMAR,BA,11,INTERIOR
XIQUE-XIQUE,TECMAR,BA,11,INTERIOR
IBITITA,TECMAR,BA,11,INTERIOR
MACARANI,TECMAR,BA,11,INTERIOR
MILAGRES,TECMAR,BA,11,INTERIOR
MAIQUINIQUE,TECMAR,BA,11,INTERIOR
MALHADA DE PEDRAS,TECMAR,BA,11,INTERIOR
PLANALTO,TECMAR,BA,11,INTERIOR
ENCRUZILHADA,TECMAR,BA,11,INTERIOR
ANDARAI,TECMAR,BA,11,INTERIOR
CAETANOS,TECMAR,BA,11,INTERIOR
GAVIAO,TECMAR,BA,11,INTERIOR
NUCLEO RESIDENCIAL PILAR,TECMAR,BA,11,INTERIOR
ACAJUTIBA,TECMAR,BA,11,INTERIOR
CATURAMA,TECMAR,BA,11,INTERIOR
COTEGIPE,TECMAR,BA,11,INTERIOR
CENTRO,TECMAR,BA,11,INTERIOR
ADUSTINA,TECMAR,BA,11,INTERIOR
FORMOSA DO RIO PRETO,TECMAR,BA,11,INTERIOR
LIVRAMENTO DE NOSSA SENHO,TECMAR,BA,11,INTERIOR
GOVERNADOR MANGABEIRA,TECMAR,BA,11,INTERIOR
PINTADAS,TECMAR,BA,11,INTERIOR
APORA,TECMAR,BA,11,INTERIOR
BIRITINGA,TECMAR,BA,11,INTERIOR
CAITITE,TECMAR,BA,11,INTERIOR
PALMEIRAS,TECMAR,BA,11,INTERIOR
CANDIBA,TECMAR,BA,11,INTERIOR
MICUGE,TECMAR,BA,11,INTERIOR
MUCUGE,TECMAR,BA,11,INTERIOR
NOVO HORIZONTE,TECMAR,BA,11,INTERIOR
LENCOIS,TECMAR,BA,11,INTERIOR
ITAETE,TECMAR,BA,11,INTERIOR
BOA NOVA,TECMAR,BA,11,INTERIOR
SAO JOSE DO JACUIPE,TECMAR,BA,11,INTERIOR
RIBEIRAO DO LARGO,TECMAR,BA,11,INTERIOR
CAMPO ALEGRE DE LOURDES,TECMAR,BA,11,INTERIOR
ITIRUCU,TECMAR,BA,11,INTERIOR
SANTA LUZIA,TECMAR,BA,11,INTERIOR
JUSSIARE,TECMAR,BA,11,INTERIOR
MORTUGABA,TECMAR,BA,11,INTERIOR
CENTRO,TECMAR,BA,11,INTERIOR
MIRANTE,TECMAR,BA,11,INTERIOR
RODELAS,TECMAR,BA,11,INTERIOR
CONDE,TECMAR,BA,11,INTERIOR
IBICUI,TECMAR,BA,11,INTERIOR
CORDEIROS,TECMAR,BA,11,INTERIOR
IPOJU,TECMAR,BA,11,INTERIOR
SERRA DOURADA,TECMAR,BA,11,INTERIOR
MAETINGA,TECMAR,BA,11,INTERIOR
GUARATINGA,TECMAR,BA,11,INTERIOR
ITAPE,TECMAR,BA,11,INTERIOR
BARRA DO JACUIPE,TECMAR,BA,11,INTERIOR
HELIOPOLIS,TECMAR,BA,11,INTERIOR
ITAGIBA,TECMAR,BA,11,INTERIOR
LAJEDO DO TABOCAL,TECMAR,BA,11,INTERIOR
CAATIBA,TECMAR,BA,11,INTERIOR
CAEM,TECMAR,BA,11,INTERIOR
MARAU,TECMAR,BA,11,INTERIOR
DARIO MEIRA,TECMAR,BA,11,INTERIOR
AGUA FRIA,TECMAR,BA,11,INTERIOR
ARRAIAL D'AJUDA,TECMAR,BA,11,INTERIOR
CARAIBA,TECMAR,BA,11,INTERIOR
UIBAI,TECMAR,BA,11,INTERIOR
ITAQUARA,TECMAR,BA,11,INTERIOR
PARATINGA,TECMAR,BA,11,INTERIOR
ARATUIPE,TECMAR,BA,11,INTERIOR
ALCOBACA,TECMAR,BA,11,INTERIOR
BARRA DA CHOCA,TECMAR,BA,11,INTERIOR
IRAJUBA,TECMAR,BA,11,INTERIOR
ITAGI,TECMAR,BA,11,INTERIOR
IUIU,TECMAR,BA,11,INTERIOR
JAGAQUARA,TECMAR,BA,11,INTERIOR
LAJEADO,TECMAR,BA,11,INTERIOR
PINDAI,TECMAR,BA,11,INTERIOR
RAFAEL JAMBEIRO,TECMAR,BA,11,INTERIOR
BURITIRAMA,TECMAR,BA,11,INTERIOR
TREMEDAL,TECMAR,BA,11,INTERIOR
IGRAPIUNA,TECMAR,BA,11,INTERIOR
ERICO CARDOSO,TECMAR,BA,11,INTERIOR
ARATU,TECMAR,BA,11,INTERIOR
SALTO,TECMAR,BA,11,INTERIOR
TANQUINHO,TECMAR,BA,11,INTERIOR
CANAPOLIS,TECMAR,BA,11,INTERIOR
GENTIO DO OURO,TECMAR,BA,11,INTERIOR
ANGUERA,TECMAR,BA,11,INTERIOR
ACARAJUTIBA,TECMAR,BA,11,INTERIOR
ANTAS,TECMAR,BA,11,INTERIOR
ANTONIO CARDOSO,TECMAR,BA,11,INTERIOR
ANTONIO GONÇALVES,TECMAR,BA,11,INTERIOR
ARAÇAS,TECMAR,BA,11,INTERIOR
ARAMARI,TECMAR,BA,11,INTERIOR
BAINOPOLIS,TECMAR,BA,11,INTERIOR
BARRO PRETO,TECMAR,BA,11,INTERIOR
BIRITIRAMA,TECMAR,BA,11,INTERIOR
BOA VISTA DO TUPIM,TECMAR,BA,11,INTERIOR
BREJOLANDIA,TECMAR,BA,11,INTERIOR
CABECEIRAS DO PARAGUAÇU,TECMAR,BA,11,INTERIOR
CAIRU,TECMAR,BA,11,INTERIOR
CALDEIRAO GRANDE,TECMAR,BA,11,INTERIOR
CAPELA DO ALTO ALEGRE,TECMAR,BA,11,INTERIOR
CARDEAL DA SILVA,TECMAR,BA,11,INTERIOR
CATOLANDIA,TECMAR,BA,11,INTERIOR
CHORROCHO,TECMAR,BA,11,INTERIOR
CONCEIÇAO DA FEIRA,TECMAR,BA,11,INTERIOR
CONCEIÇAO DO ALMEIDA,TECMAR,BA,11,INTERIOR
CONCEIÇAO DO COITE,TECMAR,BA,11,INTERIOR
CONCEIÇAO DO JACUIPE,TECMAR,BA,11,INTERIOR
CORAÇAO DE MARIA,TECMAR,BA,11,INTERIOR
COTEJIPE,TECMAR,BA,11,INTERIOR
CRAVOLANDIA,TECMAR,BA,11,INTERIOR
CRISTOPOLIS,TECMAR,BA,11,INTERIOR
CURAÇA,TECMAR,BA,11,INTERIOR
DOM MACEDO DA COSTA,TECMAR,BA,11,INTERIOR
GLORIA,TECMAR,BA,11,INTERIOR
IBIQUERA,TECMAR,BA,11,INTERIOR
ICHU,TECMAR,BA,11,INTERIOR
IPECAETA,TECMAR,BA,11,INTERIOR
ITANAGRA,TECMAR,BA,11,INTERIOR
ITICURU,TECMAR,BA,11,INTERIOR
JIQUIRICA,TECMAR,BA,11,INTERIOR
JUSSIAPE,TECMAR,BA,11,INTERIOR
LAMARAO,TECMAR,BA,11,INTERIOR
MACUJUBA,TECMAR,BA,11,INTERIOR
MACURURE,TECMAR,BA,11,INTERIOR
MIRANGABA,TECMAR,BA,11,INTERIOR
MUNIZ FERREIRA,TECMAR,BA,11,INTERIOR
MUQUEM DO SAO FRANCISCO,TECMAR,BA,11,INTERIOR
NILO PEÇANHA,TECMAR,BA,11,INTERIOR
NOVA IBIA,TECMAR,BA,11,INTERIOR
NOVA ITARANA,TECMAR,BA,11,INTERIOR
NOVA REDENCAO,TECMAR,BA,11,INTERIOR
NOVA SOURE,TECMAR,BA,11,INTERIOR
OURICANGAS,TECMAR,BA,11,INTERIOR
OUROLANDIA,TECMAR,BA,11,INTERIOR
PIRIPIRANGA,TECMAR,BA,11,INTERIOR
PEDRAO,TECMAR,BA,11,INTERIOR
PEDRO ALEXANDRE,TECMAR,BA,11,INTERIOR
PINDOBAÇU,TECMAR,BA,11,INTERIOR
PIRAI DO NORTE,TECMAR,BA,11,INTERIOR
PRESIDENTE TANCREDO NEVES,TECMAR,BA,11,INTERIOR
QUIJINGUE,TECMAR,BA,11,INTERIOR
RIACHAO DAS NEVES,TECMAR,BA,11,INTERIOR
SALINAS DA MARGARIDA,TECMAR,BA,11,INTERIOR
SANTANOPOLIS,TECMAR,BA,11,INTERIOR
SERRA PRETA,TECMAR,BA,11,INTERIOR
TAPEROA,TECMAR,BA,11,INTERIOR
TEODORO SAMPAIO,TECMAR,BA,11,INTERIOR
TEOLANDIA,TECMAR,BA,11,INTERIOR
TERRA NOVA,TECMAR,BA,11,INTERIOR
UMBURANAS,TECMAR,BA,11,INTERIOR
VARZEADO,TECMAR,BA,11,INTERIOR
WAGNER,TECMAR,BA,11,INTERIOR
WENCESLAU GUIMARAES,TECMAR,BA,11,INTERIOR
ALMADINA,TECMAR,BA,11,INTERIOR
ALQUARA,TECMAR,BA,11,INTERIOR
APUAREMA,TECMAR,BA,11,INTERIOR
AURELINO LEAL,TECMAR,BA,11,INTERIOR
BOM JESUS DA SERRA,TECMAR,BA,11,INTERIOR
CARINHANHA,TECMAR,BA,11,INTERIOR
FIRMINO ALVES,TECMAR,BA,11,INTERIOR
IBIRAPUA,TECMAR,BA,11,INTERIOR
ITAGUACU DA BAHIA,TECMAR,BA,11,INTERIOR
ITAJU DA COLONIA,TECMAR,BA,11,INTERIOR
ITAMARI,TECMAR,BA,11,INTERIOR
ITAPITANGA,TECMAR,BA,11,INTERIOR
JAGUARIPE,TECMAR,BA,11,INTERIOR
JUCURUCU,TECMAR,BA,11,INTERIOR
LAFAIETE COUTINHO,TECMAR,BA,11,INTERIOR
LAGEDAO,TECMAR,BA,11,INTERIOR
LAGEDO DO TABOCAL,TECMAR,BA,11,INTERIOR
MALHADA,TECMAR,BA,11,INTERIOR
MANSIDAO,TECMAR,BA,11,INTERIOR
MARCIONILIO DE SOUZA,TECMAR,BA,11,INTERIOR
MATINA,TECMAR,BA,11,INTERIOR
NOVA CANAA,TECMAR,BA,11,INTERIOR
PAU BRASIL,TECMAR,BA,11,INTERIOR
PLANALTINO,TECMAR,BA,11,INTERIOR
SAO JOSE DA VITORIA,TECMAR,BA,11,INTERIOR
SERRA DO RAMALHO,TECMAR,BA,11,INTERIOR
SITIO DO MATO,TECMAR,BA,11,INTERIOR
VEREDA,TECMAR,BA,11,INTERIOR
LAJEDAO,TECMAR,BA,11,INTERIOR
PLANALTINA,TECMAR,BA,11,INTERIOR
MAGALHAES,TECMAR,BA,11,INTERIOR
SAO GONCALO DOS CAMPOS,TECMAR,BA,11,INTERIOR
SANTALUZ,TECMAR,BA,11,INTERIOR
BARRA DO ROCHA,TECMAR,BA,11,INTERIOR
JAPEACU,TECMAR,BA,11,INTERIOR
ITAGUASSU,TECMAR,BA,11,INTERIOR
ARRAIAL DA AJUDA,TECMAR,BA,11,INTERIOR
RIO DAS PEDRAS,TECMAR,BA,11,INTERIOR
CONTENDAS DO SINCORA,TECMAR,BA,11,INTERIOR
JEQUIRICA,TECMAR,BA,11,INTERIOR
NILO PECANHA,TECMAR,BA,11,INTERIOR
CABECEIRAS DO PARAGUACU,TECMAR,BA,11,INTERIOR
MARCIONILIO SOUZA,TECMAR,BA,11,INTERIOR
VARZEDO,TECMAR,BA,11,INTERIOR
BARRINHA,TECMAR,BA,11,INTERIOR
CARNAIBA DO SERTAO,TECMAR,BA,11,INTERIOR
CARRAPICHEL,TECMAR,BA,11,INTERIOR
JUACEMA,TECMAR,BA,11,INTERIOR
JUREMAL,TECMAR,BA,11,INTERIOR
LIBERDADE DE SALVADOR,TECMAR,BA,11,INTERIOR
SANTA TEREZINHA,TECMAR,BA,11,INTERIOR
POSTO DA MATA,TECMAR,BA,11,INTERIOR
POÇOES,TECMAR,BA,11,INTERIOR
CONCEICAO DE JACUIPE,TECMAR,BA,11,INTERIOR
CARAIBAS,TECMAR,BA,11,INTERIOR
BAIANOPOLIS,TECMAR,BA,11,INTERIOR
MADEIROS NETO,TECMAR,BA,11,INTERIOR
CARAIBA METAIS,TECMAR,BA,11,INTERIOR
SANTA CRUZ DE CABRALIA,TECMAR,BA,11,INTERIOR
CURUCA,TECMAR,BA,11,INTERIOR
ANGICAL,TECMAR,BA,11,INTERIOR
BAIXIO,TECMAR,BA,11,INTERIOR
HUMILDES,TECMAR,BA,11,INTERIOR
GUARAJUBA,TECMAR,BA,11,INTERIOR
LIVRAMENTO DE BRUMADO,TECMAR,BA,11,INTERIOR
DOM MACEDO COSTA,TECMAR,BA,11,INTERIOR
RUI BARBOSA,TECMAR,BA,11,INTERIOR
MANUEL VITORINO,TECMAR,BA,11,INTERIOR
AMARALINA,TECMAR,BA,11,INTERIOR
JUAZEIRO DA BAHIA,TECMAR,BA,11,INTERIOR
TRANCOSO,TECMAR,BA,11,INTERIOR
MATO DE SAO JOAO,TECMAR,BA,11,INTERIOR
JAGUARIRI,TECMAR,BA,11,INTERIOR
JABORANDI,TECMAR,BA,11,INTERIOR
VALENCIA,TECMAR,BA,11,INTERIOR
RIACHAO DAS NEVES,TECMAR,BA,11,INTERIOR
PIRAJA,TECMAR,BA,11,INTERIOR
ESPLANADA,TECMAR,BA,11,INTERIOR
GOVERNADOR LOMANTO JUNIOR,TECMAR,BA,11,INTERIOR
BARRA BREJOLANDIA,TECMAR,BA,11,INTERIOR
IRECE,TECMAR,BA,11,INTERIOR
CARAIVAS,TECMAR,BA,11,INTERIOR
CONDENDAS DO SINCORA,TECMAR,BA,11,INTERIOR
LIVRAMENTO,TECMAR,BA,11,INTERIOR
PALMA DE MONTE ALTO,TECMAR,BA,11,INTERIOR
SAO FELIX DO CARIBE,TECMAR,BA,11,INTERIOR
CONDEUBA,TECMAR,BA,11,INTERIOR
PARAFUSO,TECMAR,BA,11,INTERIOR
POSSE,TECMAR,BA,11,INTERIOR
CEABRA,TECMAR,BA,11,INTERIOR
MARANGOJIPE,TECMAR,BA,11,INTERIOR
CABRALIA,TECMAR,BA,11,INTERIOR
SALOBRINHO,TECMAR,BA,11,INTERIOR
BARRA GRANDE,TECMAR,BA,11,INTERIOR
VLAS DO ATLANTICO,TECMAR,BA,11,INTERIOR
VILAS DO ATLANTICO,TECMAR,BA,11,INTERIOR
IBIAJARA,TECMAR,BA,11,INTERIOR
IBITIRA,TECMAR,BA,11,INTERIOR
ABARE,TECMAR,BA,11,INTERIOR
AGUA QUENTE,TECMAR,BA,11,INTERIOR
CALDAS DO JORRO,TECMAR,BA,11,INTERIOR
JOSE GONCALVES,TECMAR,BA,11,INTERIOR
ALGODOES,TECMAR,BA,11,INTERIOR
BELA VISTA,TECMAR,BA,11,INTERIOR
JAPOMIRIM,TECMAR,BA,11,INTERIOR
CABOTO,TECMAR,BA,11,INTERIOR
SAO JOAO DA FORTALEZA,TECMAR,BA,11,INTERIOR
HIDROLANDIA,TECMAR,BA,11,INTERIOR
JAUA,TECMAR,BA,11,INTERIOR
MARIA QUITERIA,TECMAR,BA,11,INTERIOR
ITANHAEM,TECMAR,BA,11,INTERIOR
ITAJU DO COLONIA,TECMAR,BA,11,INTERIOR
IBIRATINGA,TECMAR,BA,11,INTERIOR
ITAMOTINGA,TECMAR,BA,11,INTERIOR
CATU DE ABRANTES,TECMAR,BA,11,INTERIOR
BARRA DO POJUCA,TECMAR,BA,11,INTERIOR
JUERANA,TECMAR,BA,11,INTERIOR
JUERAMA,TECMAR,BA,11,INTERIOR
PAU MIUDO,TECMAR,BA,11,INTERIOR
BONFIM DA FEIRA,TECMAR,BA,11,INTERIOR
CALDAS DE CIPO,TECMAR,BA,11,INTERIOR
COLONIA,TECMAR,BA,11,INTERIOR
TEXEIRA DE FREITAS,TECMAR,BA,11,INTERIOR
INHOBIM,TECMAR,BA,11,INTERIOR
PALMARES,TECMAR,BA,11,INTERIOR
BARROLANDIA,TECMAR,BA,11,INTERIOR
LAGES DOS NEGROS,TECMAR,BA,11,INTERIOR
JAGUARA,TECMAR,BA,11,INTERIOR
FORTALEZA,TECMAR,CE,10,CAPITAL 
MARACANAU,TECMAR,CE,10,CAPITAL 
CEARA,TECMAR,CE,14,INTERIOR
MARANGUAPE,TECMAR,CE,10,CAPITAL 
SOBRAL,TECMAR,CE,14,INTERIOR
PACATUBA,TECMAR,CE,14,INTERIOR
IGUATU,TECMAR,CE,14,INTERIOR
CRATO,TECMAR,CE,14,INTERIOR
EUSEBIO,TECMAR,CE,10,CAPITAL 
HORIZONTE,TECMAR,CE,14,INTERIOR
JUAZEIRO DO NORTE,TECMAR,CE,14,INTERIOR
PARANGABA,TECMAR,CE,14,INTERIOR
MESSEJANA,TECMAR,CE,14,INTERIOR
CAUCAIA,TECMAR,CE,10,CAPITAL 
ICARAI,TECMAR,CE,14,INTERIOR
AQUIRAZ,TECMAR,CE,10,CAPITAL 
PACAJUS,TECMAR,CE,14,INTERIOR
RUSSAS,TECMAR,CE,14,INTERIOR
TABULEIRO DO NORTE,TECMAR,CE,14,INTERIOR
QUIXADA,TECMAR,CE,14,INTERIOR
BREJO SANTO,TECMAR,CE,14,INTERIOR
CAMOCIM,TECMAR,CE,14,INTERIOR
ITAPIPOCA,TECMAR,CE,14,INTERIOR
JAGUARIBE,TECMAR,CE,14,INTERIOR
TIANGUA,TECMAR,CE,14,INTERIOR
MOMBACA,TECMAR,CE,14,INTERIOR
CRATEUS,TECMAR,CE,14,INTERIOR
ITAITINGA,TECMAR,CE,10,CAPITAL 
MAURITI,TECMAR,CE,14,INTERIOR
GUARACIABA DO NORTE,TECMAR,CE,14,INTERIOR
CANINDE,TECMAR,CE,14,INTERIOR
CEDRO,TECMAR,CE,14,INTERIOR
ITAPAGE,TECMAR,CE,14,INTERIOR
BOA VIAGEM,TECMAR,CE,14,INTERIOR
QUIXELO,TECMAR,CE,14,INTERIOR
SANTA QUITERIA,TECMAR,CE,14,INTERIOR
COCAIA,TECMAR,CE,14,INTERIOR
CAMPOS SALES,TECMAR,CE,14,INTERIOR
ASSARE,TECMAR,CE,14,INTERIOR
MARCO,TECMAR,CE,14,INTERIOR
ICO,TECMAR,CE,14,INTERIOR
BELA CRUZ,TECMAR,CE,14,INTERIOR
ACOPIARA,TECMAR,CE,14,INTERIOR
NOVA RUSSAS,TECMAR,CE,14,INTERIOR
GRACA,TECMAR,CE,14,INTERIOR
VARZEA ALEGRE,TECMAR,CE,14,INTERIOR
MASSAPE,TECMAR,CE,14,INTERIOR
JIJOCA DE JERICOACOARA,TECMAR,CE,14,INTERIOR
ARACATI,TECMAR,CE,14,INTERIOR
CATUNDA,TECMAR,CE,14,INTERIOR
LIMOEIRO DO NORTE,TECMAR,CE,14,INTERIOR
UBAJARA,TECMAR,CE,14,INTERIOR
GRANJA,TECMAR,CE,14,INTERIOR
MORRINHOS,TECMAR,CE,14,INTERIOR
VICOSA DO CEARA,TECMAR,CE,14,INTERIOR
JARDIM,TECMAR,CE,14,INTERIOR
IPU,TECMAR,CE,14,INTERIOR
ARACOIABA,TECMAR,CE,14,INTERIOR
GROAIRAS,TECMAR,CE,14,INTERIOR
MISSAO VELHA,TECMAR,CE,14,INTERIOR
NOVA OLINDA,TECMAR,CE,14,INTERIOR
CARIUS,TECMAR,CE,14,INTERIOR
PINDORETAMA,TECMAR,CE,14,INTERIOR
NOVO ORIENTE,TECMAR,CE,14,INTERIOR
JAGUARETAMA,TECMAR,CE,14,INTERIOR
TAUA,TECMAR,CE,14,INTERIOR
BARBALHA,TECMAR,CE,14,INTERIOR
COREAU,TECMAR,CE,14,INTERIOR
INDEPENDENCIA,TECMAR,CE,14,INTERIOR
MISSAO VELHA,TECMAR,CE,14,INTERIOR
BARRO,TECMAR,CE,14,INTERIOR
IRACEMA,TECMAR,CE,14,INTERIOR
IBIAPINA,TECMAR,CE,14,INTERIOR
CRUZ,TECMAR,CE,14,INTERIOR
SAO BENEDITO,TECMAR,CE,14,INTERIOR
RERIUTABA,TECMAR,CE,14,INTERIOR
URUBURETAMA,TECMAR,CE,14,INTERIOR
VARJOTA,TECMAR,CE,14,INTERIOR
FORQUILHA,TECMAR,CE,14,INTERIOR
LAVRAS DA MANGABEIRA,TECMAR,CE,14,INTERIOR
POTENGI,TECMAR,CE,14,INTERIOR
IPUEIRAS,TECMAR,CE,14,INTERIOR
CARNAUBAL,TECMAR,CE,14,INTERIOR
MADALENA,TECMAR,CE,14,INTERIOR
QUIXERAMOBIM,TECMAR,CE,14,INTERIOR
TRAIRI,TECMAR,CE,14,INTERIOR
CAPONGA,TECMAR,CE,14,INTERIOR
PARACURU,TECMAR,CE,14,INTERIOR
PARAIPABA,TECMAR,CE,14,INTERIOR
ITAREMA,TECMAR,CE,14,INTERIOR
BARREIRA,TECMAR,CE,14,INTERIOR
NOVA JAGUARARIBARA,TECMAR,CE,14,INTERIOR
BATURITE,TECMAR,CE,14,INTERIOR
CASCAVEL,TECMAR,CE,14,INTERIOR
FRECHEIRINHA,TECMAR,CE,14,INTERIOR
FARIAS BRITO,TECMAR,CE,14,INTERIOR
AMONTADA,TECMAR,CE,14,INTERIOR
PEDRA BRANCA,TECMAR,CE,14,INTERIOR
SOLONOPOLE,TECMAR,CE,14,INTERIOR
MILHA,TECMAR,CE,14,INTERIOR
ANTONINA DO NORTE,TECMAR,CE,14,INTERIOR
MORADA NOVA,TECMAR,CE,14,INTERIOR
SENADOR POMPEU,TECMAR,CE,14,INTERIOR
JUCA,TECMAR,CE,14,INTERIOR
ITAPIUNA,TECMAR,CE,14,INTERIOR
PAJUCARA,TECMAR,CE,14,INTERIOR
AURORA,TECMAR,CE,14,INTERIOR
OROS,TECMAR,CE,14,INTERIOR
SAO GONCALO DO AMARANTE,TECMAR,CE,14,INTERIOR
ACARAU,TECMAR,CE,14,INTERIOR
PORANGA,TECMAR,CE,14,INTERIOR
CROATA,TECMAR,CE,14,INTERIOR
JAGUARIBARA,TECMAR,CE,14,INTERIOR
MONSENHOR TABOSA,TECMAR,CE,14,INTERIOR
IPAPORANGA,TECMAR,CE,14,INTERIOR
TAMBORIL,TECMAR,CE,14,INTERIOR
MUCAMBO,TECMAR,CE,14,INTERIOR
DEPUTADO IRAPUAN PINHEIRO,TECMAR,CE,14,INTERIOR
ARARIPE,TECMAR,CE,14,INTERIOR
ARARIPE,TECMAR,CE,14,INTERIOR
CHOROZINHO,TECMAR,CE,14,INTERIOR
JAGUARUANA,TECMAR,CE,14,INTERIOR
QUIXERE,TECMAR,CE,14,INTERIOR
SAO JOAO DO JAGUARIBE,TECMAR,CE,14,INTERIOR
GUAIUBA,TECMAR,CE,14,INTERIOR
ITAICABA,TECMAR,CE,14,INTERIOR
SANTANA DO ACARAU,TECMAR,CE,14,INTERIOR
PALMACIA,TECMAR,CE,14,INTERIOR
CHAVAL,TECMAR,CE,14,INTERIOR
MULUNGU,TECMAR,CE,14,INTERIOR
MERUOCA,TECMAR,CE,14,INTERIOR
CARIRE,TECMAR,CE,14,INTERIOR
SENADOR SA,TECMAR,CE,14,INTERIOR
BARROQUINHA,TECMAR,CE,14,INTERIOR
PENTECOSTE,TECMAR,CE,14,INTERIOR
APUIARES,TECMAR,CE,14,INTERIOR
BEBERIBE,TECMAR,CE,14,INTERIOR
TURURU,TECMAR,CE,14,INTERIOR
FORTIM,TECMAR,CE,14,INTERIOR
PALHANO,TECMAR,CE,14,INTERIOR
IPAUMIRIM,TECMAR,CE,14,INTERIOR
PARAMBU,TECMAR,CE,14,INTERIOR
PACOTI,TECMAR,CE,14,INTERIOR
OCARA,TECMAR,CE,14,INTERIOR
REDENCAO,TECMAR,CE,14,INTERIOR
ARARENDA,TECMAR,CE,14,INTERIOR
PIQUET CARNEIRO,TECMAR,CE,14,INTERIOR
ALTO SANTO,TECMAR,CE,14,INTERIOR
GUARAMIRANGA,TECMAR,CE,14,INTERIOR
PARAMOTI,TECMAR,CE,14,INTERIOR
BANABUIU,TECMAR,CE,14,INTERIOR
CARIDADE,TECMAR,CE,14,INTERIOR
GRANJEIRO,TECMAR,CE,14,INTERIOR
JUCAS,TECMAR,CE,14,INTERIOR
IBARETAMA,TECMAR,CE,14,INTERIOR
IBICUITINGA,TECMAR,CE,14,INTERIOR
SALITRE,TECMAR,CE,14,INTERIOR
CATARINA,TECMAR,CE,14,INTERIOR
IRAUCUBA,TECMAR,CE,14,INTERIOR
SOLONOPOLES,TECMAR,CE,14,INTERIOR
MILAGRES,TECMAR,CE,14,INTERIOR
CATUANA,TECMAR,CE,14,INTERIOR
ICAPUI,TECMAR,CE,14,INTERIOR
JIJOCA JERICOACOARA,TECMAR,CE,14,INTERIOR
CAPISTRANO,TECMAR,CE,14,INTERIOR
PACAJUS,TECMAR,CE,14,INTERIOR
TAVÁ,TECMAR,CE,14,INTERIOR
TEJUCUOCA,TECMAR,CE,14,INTERIOR
SAO  MIGUEL,TECMAR,CE,14,INTERIOR
SAO MIGUEL,TECMAR,CE,14,INTERIOR
PEREIRO,TECMAR,CE,14,INTERIOR
PANABUIU,TECMAR,CE,14,INTERIOR
PECEM,TECMAR,CE,14,INTERIOR
JATI,TECMAR,CE,14,INTERIOR
PACUJA,TECMAR,CE,14,INTERIOR
CAJUEIRO,TECMAR,CE,14,INTERIOR
ALTANEIRA,TECMAR,CE,14,INTERIOR
ARAJARA,TECMAR,CE,14,INTERIOR
ARNEIROZ,TECMAR,CE,14,INTERIOR
AIUABA,TECMAR,CE,14,INTERIOR
CARICIACU,TECMAR,CE,14,INTERIOR
CEDROS,TECMAR,CE,14,INTERIOR
DOM QUIXOTE,TECMAR,CE,14,INTERIOR
JAMARACU,TECMAR,CE,14,INTERIOR
JARDIM MIRIM,TECMAR,CE,14,INTERIOR
LARNEIRO,TECMAR,CE,14,INTERIOR
MARROCOS,TECMAR,CE,14,INTERIOR
MISSAO NOVA,TECMAR,CE,14,INTERIOR
MURITI,TECMAR,CE,14,INTERIOR
PADRE,TECMAR,CE,14,INTERIOR
PENAFORTE,TECMAR,CE,14,INTERIOR
PONTA DA SERRA,TECMAR,CE,14,INTERIOR
PONTEGI,TECMAR,CE,14,INTERIOR
PORTEIRAS,TECMAR,CE,14,INTERIOR
QUIMANI,TECMAR,CE,14,INTERIOR
SABOEIRO,TECMAR,CE,14,INTERIOR
SANTA FE,TECMAR,CE,14,INTERIOR
SANTANA DO CARIRI,TECMAR,CE,14,INTERIOR
TARRAFAS,TECMAR,CE,14,INTERIOR
UMARI,TECMAR,CE,14,INTERIOR
IGUAÇU,TECMAR,CE,14,INTERIOR
MIRAIMA,TECMAR,CE,14,INTERIOR
ALCANTARAS,TECMAR,CE,14,INTERIOR
ACARAPE,TECMAR,CE,14,INTERIOR
SAO LUIS DO CURU,TECMAR,CE,14,INTERIOR
HIDROLANDIA,TECMAR,CE,14,INTERIOR
ABAIARA,TECMAR,CE,14,INTERIOR
UMIRIM,TECMAR,CE,14,INTERIOR
CARIRIACU,TECMAR,CE,14,INTERIOR
MARTINOPOLE,TECMAR,CE,14,INTERIOR
QUITERIANOPOLIS,TECMAR,CE,14,INTERIOR
QUITERIANOPOLIS,TECMAR,CE,14,INTERIOR
ARATUBA,TECMAR,CE,14,INTERIOR
SAO GONCALO AMARANTE,TECMAR,CE,14,INTERIOR
QUIXADA,TECMAR,CE,14,INTERIOR
